language,test,runs,timeMs
BareScript (Py),markdownParse,8,149
BareScript (Py),markdownElements,38,166
BareScript (Py),qrcodeMatrix,3,218
BareScript (Py),urlEncode,400,149
BareScript (Py),urlDecode,300,199
Python,mandelbrot,1,47.89
Python,schemaParse,250,42.659000000000006
Python,schemaValidate,250,52.205
Python,urlEncode,2000,21.155
Python,urlDecode,2000,23.684
BareScript (PyC),testSuite,1000,7200
BareScript (Py),testSuite,1000,9470
BareScript (PyC),mandelbrot,1,109
BareScript (PyC),schemaParse,150,167
BareScript (PyC),schemaValidate,150,157
BareScript (PyC),markdownParse,22,143
BareScript (PyC),markdownElements,300,167
BareScript (PyC),qrcodeMatrix,17,145
BareScript (PyC),urlEncode,2400,125
BareScript (PyC),urlDecode,1200,136
BareScript (Py),mandelbrot,1,3533
BareScript (Py),schemaParse,17,152
BareScript (Py),schemaValidate,11,156
BareScript (Py),markdownParse,8,150
BareScript (Py),markdownElements,38,166
BareScript (Py),qrcodeMatrix,3,218
BareScript (Py),urlEncode,400,149
BareScript (Py),urlDecode,300,198
Python,mandelbrot,1,47.384
Python,schemaParse,250,42.623000000000005
Python,schemaValidate,250,51.805
Python,urlEncode,2000,21.017999999999997
Python,urlDecode,2000,23.706000000000003
BareScript (PyC),testSuite,1000,7120
BareScript (Py),testSuite,1000,9420
BareScript (PyC),mandelbrot,1,119
BareScript (PyC),schemaParse,150,169
BareScript (PyC),schemaValidate,150,161
BareScript (PyC),markdownParse,22,142
BareScript (PyC),markdownElements,300,168
BareScript (PyC),qrcodeMatrix,17,144
BareScript (PyC),urlEncode,2400,125
BareScript (PyC),urlDecode,1200,134
BareScript (Py),mandelbrot,1,3574
BareScript (Py),schemaParse,17,151
BareScript (Py),schemaValidate,11,156
BareScript (Py),markdownParse,8,150
BareScript (Py),markdownElements,38,168
BareScript (Py),qrcodeMatrix,3,216
BareScript (Py),urlEncode,400,150
BareScript (Py),urlDecode,300,198
Python,mandelbrot,1,48.484
Python,schemaParse,250,42.787
Python,schemaValidate,250,51.482
Python,urlEncode,2000,21.005
Python,urlDecode,2000,23.882
BareScript (PyC),testSuite,1000,7180
BareScript (Py),testSuite,1000,9450
BareScript (PyC),mandelbrot,1,113
BareScript (PyC),schemaParse,150,168
BareScript (PyC),schemaValidate,150,160
BareScript (PyC),markdownParse,25,161
BareScript (PyC),markdownElements,300,166
BareScript (PyC),qrcodeMatrix,17,144
BareScript (PyC),urlEncode,2400,125
BareScript (PyC),urlDecode,1200,134
BareScript (Py),mandelbrot,1,3528
BareScript (Py),schemaParse,17,152
BareScript (Py),schemaValidate,11,157
BareScript (Py),markdownParse,8,150
BareScript (Py),markdownElements,38,168
BareScript (Py),qrcodeMatrix,3,218
BareScript (Py),urlEncode,400,150
BareScript (Py),urlDecode,150,100
Python,mandelbrot,1,46.659
Python,schemaParse,250,43.447
Python,schemaValidate,250,51.611999999999995
Python,urlEncode,2000,21.163
Python,urlDecode,2000,23.702
BareScript (PyC),testSuite,1000,7220
BareScript (Py),testSuite,1000,9460
